Algoritmo,Tamanho,Tipo,Tempo,Comparacoes,Trocas
BubbleSort,1000,1,1,498372,250998
InsertionSort,1000,1,2,251341,250350
SelectionSort,1000,1,1,499500,990
MergeSort,1000,1,2,8688,4275
QuickSort,1000,1,0,8004,2565
BubbleSort,5000,1,27,12497035,6246312
InsertionSort,5000,1,13,6346377,6341385
SelectionSort,5000,1,14,12497500,4992
MergeSort,5000,1,11,56864,26696
QuickSort,5000,1,0,53937,15485
BubbleSort,10000,1,111,49987497,24641745
InsertionSort,10000,1,47,25011430,25001439
SelectionSort,10000,1,63,49995000,9989
MergeSort,10000,1,21,123673,58288
QuickSort,10000,1,0,114637,33429
BubbleSort,20000,1,458,199966995,99867159
InsertionSort,20000,1,187,98464862,98444876
SelectionSort,20000,1,244,199990000,19987
MergeSort,20000,1,45,267294,126701
QuickSort,20000,1,0,235915,73179
BubbleSort,1000,2,0,6972,1210
InsertionSort,1000,2,0,2255,1257
SelectionSort,1000,2,1,499500,669
MergeSort,1000,2,2,5584,795
QuickSort,1000,2,0,7934,1150
BubbleSort,5000,2,0,39964,6134
InsertionSort,5000,2,0,10993,5995
SelectionSort,5000,2,17,12497500,3264
MergeSort,5000,2,10,36170,4105
QuickSort,5000,2,0,51153,5692
BubbleSort,10000,2,0,79964,11924
InsertionSort,10000,2,0,22128,12130
SelectionSort,10000,2,61,49995000,6487
MergeSort,10000,2,21,77303,8064
QuickSort,10000,2,1,112391,11392
BubbleSort,20000,2,0,159964,23921
InsertionSort,20000,2,0,43880,23883
SelectionSort,20000,2,243,199990000,12906
MergeSort,20000,2,43,164626,16351
QuickSort,20000,2,1,245343,22884
BubbleSort,1000,3,1,499500,499500
InsertionSort,1000,3,1,499500,499500
SelectionSort,1000,3,1,499500,500
MergeSort,1000,3,2,4932,4932
QuickSort,1000,3,0,6996,1010
BubbleSort,5000,3,39,12497500,12497500
InsertionSort,5000,3,24,12497500,12497500
SelectionSort,5000,3,15,12497500,2500
MergeSort,5000,3,11,29804,29804
QuickSort,5000,3,0,46834,5452
BubbleSort,10000,3,156,49995000,49995000
InsertionSort,10000,3,98,49995000,49995000
SelectionSort,10000,3,63,49995000,5000
MergeSort,10000,3,21,64608,64608
QuickSort,10000,3,0,103644,10904
BubbleSort,20000,3,617,199990000,199990000
InsertionSort,20000,3,383,199990000,199990000
SelectionSort,20000,3,261,199990000,10000
MergeSort,20000,3,43,139216,139216
QuickSort,20000,3,0,227262,21808
